Harga,Kamar Tidur,Kamar Mandi,Garasi,Luas Tanah,Luas Bangunan,Lokasi
690000000,2,1,1,70,40,Sawangan
880000000,3,2,1,60,75,Sawangan
1650000000,2,2,0,172,120,Pancoran Mas
816000000,3,3,1,60,100,Bojong Sari
605000000,3,2,1,50,75,Grand Depok City
2700000000,3,2,1,169,200,Cinere
630000000,3,2,1,72,110,Cilodong
185000000,2,1,1,70,50,Citayam
2900000000,4,2,3,320,150,Pangkalan Jati
8900000000,4,4,2,430,572,Margonda
1500000000,3,3,1,83,112,Tanah Baru
1250000000,2,2,0,121,170,Tugu
2350000000,12,6,2,312,420,Beji
690000000,3,2,1,90,53,Citayam
3900000000,3,4,2,118,250,Pangkalan Jati
450000000,2,1,0,105,55,Citayam
750000000,2,1,0,85,48,Pancoran Mas
4000000000,4,3,2,421,241,Sawangan
12500000,5,2,10,3900,400,Cinere
690000000,2,2,2,55,60,Bojong Sari
1850000000,3,3,2,124,178,Cinere
3500000000,5,4,2,280,250,Cinere
678000000,1,1,0,60,36,Bojong Sari
195000000,2,1,1,50,36,Sawangan
1150000000,3,2,2,84,105,Sukmajaya
1800000000,3,2,1,96,120,Cinere
775000000,2,2,1,98,70,Cinangka
485000000,2,1,1,60,45,Depok I
3200000000,3,2,1,178,156,Pangkalan Jati
845000000,3,2,2,56,71,Kelapa Dua
400000000,3,2,0,90,70,Depok I
2300000000,2,1,0,225,100,Cibubur
1500000000,2,1,1,108,48,Cimanggis
1300000000,3,2,0,60,60,Pancoran Mas
1050000000,3,2,1,66,76,Cimanggis
385000000,3,2,1,60,60,Cinere
585000000,2,1,1,100,65,Cilodong
1300000000,1,1,2,167,100,Kelapa Dua
390000000,2,1,1,55,36,Tapos
855000000,3,2,2,74,80,Sawangan
1470000000,3,2,1,105,86,Cibubur
5500000000,4,4,0,777,450,Sawangan
700000000,3,2,1,60,60,Sawangan
690000000,3,2,1,70,73,Sawangan
279000000,2,1,1,50,36,Sawangan
999000000,2,1,0,77,106,Beji
1150000000,3,2,1,109,134,Cimanggis
550000000,2,1,1,60,39,Tanah Baru
1190000000,3,2,1,70,90,Rangkapanjaya
450000000,3,2,1,50,80,Cipayung
750000000,2,1,1,84,48,Limo
225000000,2,1,1,45,40,Cilodong
3000000000,4,3,2,150,230,Cinere
1000000000,3,2,1,64,76,Cibubur
5780000000,4,3,3,650,208,Pangkalan Jati
450000000,3,2,1,45,80,Pancoran Mas
425000000,2,1,1,60,32,Cipayung
1250000000,2,1,0,87,56,Cibubur
1900000000,4,3,1,172,160,Cinere
800000000,3,2,2,70,90,Cinangka
6000000000,4,3,6,1024,400,Cinere
475000000,2,1,1,67,45,Pancoran Mas
1750000000,4,4,2,105,127,Limo
4500000000,4,3,1,540,300,Cinere
4500000000,13,13,0,583,800,Cisalak
850000000,3,2,0,120,120,Limo
750000000,4,2,1,72,98,Pancoran Mas
750000000,3,2,1,60,50,Citayam
1700000000,3,3,2,74,75,Beji
650000000,3,2,0,48,96,Harjamukti
690000000,3,1,2,116,60,Cilodong
2200000000,5,3,0,155,200,Pancoran Mas
3200000000,3,2,2,178,156,Pangkalan Jati
2650000000,3,2,2,200,143,Harjamukti
1100000000,2,1,1,72,44,Sawangan
1150000000,3,2,1,70,80,Sukmajaya
3250000000,4,4,1,200,150,Margonda
3000000000,3,3,2,300,215,Cinere
4500000000,5,3,2,448,256,Cinere
1400000000,3,2,2,132,100,Sawangan
1250000000,1,2,1,98,72,Tapos
2000000000,3,2,1,72,89,Cibubur
125000000,3,3,2,81,120,Cilodong
1300000000,6,4,2,200,180,Tapos
675000000,2,1,1,84,56,Cilangkap
10900000000,4,5,2,415,500,Cinere
3600000000,4,4,2,200,200,Cinere
2100000000,3,3,1,208,150,Cinere
1600000000,5,2,1,102,200,Cinere
1850000000,3,3,0,124,187,Cinere
875000000,3,2,1,112,80,Cimanggis
4150000000,11,5,0,565,300,Beji
895000000,4,2,1,105,110,Cilodong
625000000,2,1,0,89,55,Depok II
525000000,4,4,0,150,120,Cipayung
3300000000,4,4,3,182,200,Cinere
1140000000,3,2,2,84,85,Sawangan
520000000,2,1,1,60,40,Pasir Putih
3700000000,4,4,2,205,250,Cinere
1900000000,2,3,1,160,125,Sawangan
1620000000,3,3,1,114,185,Cinere
3200000000,3,3,2,620,250,Cinere
685000000,2,1,1,83,70,Sawangan
929000000,3,2,1,50,61,Beji
1450000000,4,2,1,171,250,Sukmajaya
850000000,3,2,1,139,123,Cinere
1370000000,2,2,1,72,85,Sawangan
3490000000,3,3,3,153,165,Cimanggis
8500000000,7,5,2,540,400,Cinere
802000000,2,1,1,60,37,Sawangan
5500000000,12,7,2,510,300,Sukmajaya
2500000000,3,4,2,128,185,Gandul
7000000000,4,4,2,508,380,Cinere
4900000000,3,2,1,280,400,Cinere
3750000000,4,2,2,719,250,Depok I
4500000000,4,4,4,500,420,Cinere
697000000,2,1,0,60,38,Cilodong
1080000000,3,3,2,64,100,Cinere
1980000000,3,2,0,111,88,Harjamukti
1350000000,3,3,2,90,100,Sawangan
6500000000,6,4,2,706,600,Cinere
3200000000,3,1,0,178,156,Cinere
2350000000,3,2,1,200,150,Cinere
285000000,2,1,1,55,40,Sawangan
7500000000,3,3,2,872,150,Sawangan
2750000000,5,3,2,253,400,Cinere
700000000,2,1,1,96,53,Sawangan
2500000000,3,2,1,230,242,Cinere
675000000,2,2,1,65,68,Cimanggis
1600000000,3,2,1,140,100,Limo
2900000000,4,4,0,180,250,Cinere
1980000000,5,2,2,248,290,Depok I
2200000000,5,3,2,143,200,Depok I
6000000000,3,2,2,1024,439,Cinere
30000000000,68,68,15,1752,1885,Margonda
3500000000,3,3,0,375,225,Cinere
2000000000,4,4,1,128,130,Harjamukti
2150000000,4,5,1,140,140,Cinere
2300000000,3,3,1,120,180,Cinere
2900000000,4,3,1,198,248,Cinere
3200000000,2,3,1,178,156,Pangkalan Jati
3000000000,3,4,2,140,110,Sawangan
1250000000,2,1,1,90,60,Harjamukti
1650000000,3,2,1,120,105,Cinere
1700000000,3,2,1,105,115,Pangkalan Jati
1650000000,3,3,1,112,135,Harjamukti
4000000000,5,5,2,343,400,Cinere
4000000000,4,5,0,260,400,Cinere
5700000000,5,4,1,350,600,Cinere
2100000000,2,1,2,225,48,Cinere
6250000000,3,3,1,453,361,Cinere
3800000000,4,3,2,294,250,Cinere
4690000000,7,6,4,720,360,Cinere
2900000000,5,5,1,160,240,Cinere
4800000000,6,4,2,570,465,Cinere
2850000000,5,4,2,480,320,Cinere
3900000000,4,2,2,375,221,Cinere
1750000000,3,2,2,120,150,Cinere
250000000,1,1,0,37,30,Sawangan
1650000000,4,3,1,105,115,Cinere
1800000000,4,4,2,90,125,Cinere
10000000000,4,3,13,1234,430,Pangkalan Jati
2700000000,4,3,2,151,264,Cinere
1850000000,5,5,2,127,200,Cinere
3800000000,5,5,2,310,275,Cinere
3700000000,5,3,1,280,240,Cinere
1890000000,5,4,1,100,120,Cinere
2300000000,4,4,1,120,180,Cinere
